2	0
2.325	0.689467
2.65	1.14125
2.975	1.43729
3.3	1.63128
3.625	1.75839
3.95	1.84168
4.275	1.89626
4.6	1.93203
4.925	1.95547
5.25	1.97084
5.575	1.98091
5.9	1.98753
6.225	1.99188
6.55	1.99475
6.875	1.99668
7.2	1.998
7.525	1.99897
7.85	1.99974
8.175	2.00047
8.5	2.00128
8.825	2.00232
9.15	2.00379
9.475	2.00594
9.8	2.00916
10.125	2.01405
10.45	2.02149
10.775	2.03283
11.1	2.05012
11.425	2.0765
11.75	2.11675
12.075	2.17817
12.4	2.27191
12.725	2.41497
13.05	2.63328
13.375	2.96645
13.7	3.4749
14.025	4.25084
14.35	5.435
14.675	7.24213
15	10
